City,Year,Population
Greater Sydney,2001,4102580
Greater Sydney,2002,4135637
Greater Sydney,2003,4162593
Greater Sydney,2004,4184763
Greater Sydney,2005,4217563
Greater Sydney,2006,4256161
Greater Sydney,2007,4325525
Greater Sydney,2008,4409562
Greater Sydney,2009,4492380
Greater Sydney,2010,4555516
Greater Sydney,2011,4608949
Greater Sydney,2012,4677196
Greater Sydney,2013,4757364
Greater Sydney,2014,4841349
Greater Sydney,2015,4930189
Greater Sydney,2016,5024923
Greater Sydney,2017,5119495
Greater Sydney,2018,5190353
Greater Sydney,2019,5256836
Greater Sydney,2020,5295529
Greater Sydney,2021,5261801
Greater Sydney,2022,5312887
Greater Sydney,2023,5458942
Greater Sydney,2024,5563600
Greater Sydney,2025,5638830
Greater Melbourne,2001,3500249
Greater Melbourne,2002,3545579
Greater Melbourne,2003,3594031
Greater Melbourne,2004,3641951
Greater Melbourne,2005,3697372
Greater Melbourne,2006,3760760
Greater Melbourne,2007,3841760
Greater Melbourne,2008,3931438
Greater Melbourne,2009,4031787
Greater Melbourne,2010,4105857
Greater Melbourne,2011,4169366
Greater Melbourne,2012,4265843
Greater Melbourne,2013,4370067
Greater Melbourne,2014,4476030
Greater Melbourne,2015,4586012
Greater Melbourne,2016,4714387
Greater Melbourne,2017,4820116
Greater Melbourne,2018,4916589
Greater Melbourne,2019,5006457
Greater Melbourne,2020,5061107
Greater Melbourne,2021,4975319
Greater Melbourne,2022,5028420
Greater Melbourne,2023,5194491
Greater Melbourne,2024,5330560
Greater Melbourne,2025,5435590
Greater Brisbane,2001,1693556
Greater Brisbane,2002,1735730
Greater Brisbane,2003,1780650
Greater Brisbane,2004,1823496
Greater Brisbane,2005,1866210
Greater Brisbane,2006,1908265
Greater Brisbane,2007,1958907
Greater Brisbane,2008,2012204
Greater Brisbane,2009,2068479
Greater Brisbane,2010,2108348
Greater Brisbane,2011,2147436
Greater Brisbane,2012,2196288
Greater Brisbane,2013,2241944
Greater Brisbane,2014,2281740
Greater Brisbane,2015,2318653
Greater Brisbane,2016,2362672
Greater Brisbane,2017,2409466
Greater Brisbane,2018,2454907
Greater Brisbane,2019,2503078
Greater Brisbane,2020,2545379
Greater Brisbane,2021,2567714
Greater Brisbane,2022,2621767
Greater Brisbane,2023,2703213
Greater Brisbane,2024,2775301
Greater Brisbane,2025,2833524
Greater Adelaide,2001,1148006
Greater Adelaide,2002,1154981
Greater Adelaide,2003,1162250
Greater Adelaide,2004,1168541
Greater Adelaide,2005,1177345
Greater Adelaide,2006,1189243
Greater Adelaide,2007,1204210
Greater Adelaide,2008,1219523
Greater Adelaide,2009,1237354
Greater Adelaide,2010,1253097
Greater Adelaide,2011,1264091
Greater Adelaide,2012,1277850
Greater Adelaide,2013,1289696
Greater Adelaide,2014,1302079
Greater Adelaide,2015,1313419
Greater Adelaide,2016,1324057
Greater Adelaide,2017,1338270
Greater Adelaide,2018,1353662
Greater Adelaide,2019,1372414
Greater Adelaide,2020,1392755
Greater Adelaide,2021,1401872
Greater Adelaide,2022,1421298
Greater Adelaide,2023,1450662
Greater Adelaide,2024,1472368
Greater Adelaide,2025,1491015
Greater Perth,2001,1455361
Greater Perth,2002,1474536
Greater Perth,2003,1496016
Greater Perth,2004,1520232
Greater Perth,2005,1544977
Greater Perth,2006,1576912
Greater Perth,2007,1628467
Greater Perth,2008,1682860
Greater Perth,2009,1739342
Greater Perth,2010,1781132
Greater Perth,2011,1833567
Greater Perth,2012,1892862
Greater Perth,2013,1943855
Greater Perth,2014,1973923
Greater Perth,2015,1998937
Greater Perth,2016,2019263
Greater Perth,2017,2046413
Greater Perth,2018,2075953
Greater Perth,2019,2114184
Greater Perth,2020,2161561
Greater Perth,2021,2191838
Greater Perth,2022,2229793
Greater Perth,2023,2317268
Greater Perth,2024,2394677
Greater Perth,2025,2452765
