CLUE small area,Cafe_Count,Unique_Cafe_Names,Avg_Latitude,Avg_Longitude
Melbourne (CBD),5772,591,-37.8138451107623,144.96274191834252
Carlton,1095,92,-37.80077166560731,144.96548533884203
Docklands,914,91,-37.81757346793217,144.9455107632604
Melbourne (Remainder),578,38,-37.84086917576124,144.97913189569377
North Melbourne,544,49,-37.80134203479779,144.95075747377757
Southbank,475,54,-37.82400052046316,144.96389773269053
East Melbourne,413,31,-37.811806028571425,144.9801577341937
West Melbourne (Residential),359,35,-37.808700174818945,144.9504697746128
Parkville,316,30,-37.79109421544304,144.95465973878166
Port Melbourne,223,14,-37.82499304412556,144.91683688797758
Kensington,200,19,-37.791890374750004,144.926161456855
South Yarra,62,3,-37.83563897967742,144.98117631348387
West Melbourne (Industrial),51,3,-37.806929425490196,144.92481690735295
