Count,count
Cafes and Restaurants,49749
Takeaway Food Services,9007
"Pubs, Taverns and Bars",4089
Accommodation,1253
Bakery Product Manufacturing (Non-factory based),310
Other Specialised Food Retailing,297
Clubs (Hospitality),209
Catering Services,183
"Sports and Physical Recreation Venues, Grounds and Facilities Operation",157
Internet Service Providers and Web Search Portals,112
Newspaper and Book Retailing,69
"Automotive Body, Paint and Interior Repair",68
Convenience Store,56
Non-Residential Property Operators,47
Performing Arts Venue Operation,46
Other Gambling Activities,45
Zoological and Botanical Gardens Operation,43
Amusement and Other Recreational Activities n.e.c.,41
Supermarket and Grocery Stores,38
Other Store-Based Retailing n.e.c.,32
Fruit and Vegetable Retailing,32
Other Administrative Services n.e.c.,31
Performing Arts Operation,30
Health and Fitness Centres and Gymnasia Operation,29
Other Interest Group Services n.e.c.,25
Sports and Physical Recreation Clubs and Sports Professionals,24
Horse and Dog Racing Administration and Track Operation,23
Casino Operation,23
Car Retailing,21
Other Personal Services n.e.c.,17
Flower Retailing,15
Technical and Vocational Education and Training,15
Other Social Assistance Services,13
Houseware Retailing,12
Religious Services,11
Banking,10
Museum Operation,10
Sport and Camping Equipment Retailing,10
Motion Picture Exhibition,9
Womens Clothing Retailing,9
Motor Cycle Retailing,9
Laundry and Dry-Cleaning Services,8
Other Food Product Manufacturing n.e.c.,8
Clothing Retailing,8
Entertainment Media Retailing,8
Electricity Transmission,7
Diet and Weight Reduction Centre Operation,6
"Fresh Meat, Fish and Poultry Retailing",6
Other Personal Accessory Retailing,6
Fuel Retailing,5
Telecommunication Goods Wholesaling,5
Liquor Retailing,5
Watch and Jewellery Retailing,4
Professional Photographic Services,4
"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",4
Hairdressing and Beauty Services,4
Mens Clothing Retailing,4
Oil and Gas Extraction,4
Scientific Research Services,4
Amusement Parks and Centres Operation,3
Hospitals (except Psychiatric Hospitals),3
Other Auxiliary Finance and Investment Services,2
Architectural Services,2
Furniture Retailing,2
Business and Professional Association Services,2
Management Advice and Other Consulting Services,2
Fruit and Vegetable Wholesaling,2
Higher Education,2
Common Area,2
Sports and Physical Recreation Instruction,2
Computer System Design and Related Services,1
Electronic (except Domestic Appliance) and Precision Equipment Repair and Maint,1
"Cereal, Pasta and Baking Mix Manufacturing",1
