Trading name,Latitude,Longitude,CLUE small area,Building address
Cafe 22,-37.8187779,144.959974759,Melbourne (CBD),22-38 William Street MELBOURNE 3000
Aria Cafe,-37.81845283,144.963085709,Melbourne (CBD),342-348 Flinders Street MELBOURNE 3000
Cafe 34,-37.81799108,144.962446939,Melbourne (CBD),28-38 Queen Street MELBOURNE 3000
Cafe Andiamo,-37.81706424,144.965912235,Melbourne (CBD),253-265 Flinders Lane MELBOURNE 3000
Cafe On Flinders,-37.81725011,144.96656112,Melbourne (CBD),228-236 Flinders Street MELBOURNE 3000
D Corner Cafe,-37.81584378,144.972050554,Melbourne (CBD),1-9 Exhibition Street MELBOURNE 3000
Observation Deck Cafe/bar,-37.81866398,144.957560445,Melbourne (CBD),505-535 Collins Street MELBOURNE 3000
Cafenatics Expresso Bar,-37.81797913,144.959886102,Melbourne (CBD),433-455 Collins Street MELBOURNE 3000
Cafenatics Expresso Bar,-37.81797913,144.959886102,Melbourne (CBD),433-455 Collins Street MELBOURNE 3000
Java Cafe,-37.81728207,144.962455707,Melbourne (CBD),359-373 Collins Street MELBOURNE 3000
Cafe On Collins,-37.81662842,144.963832578,Melbourne (CBD),303-317 Collins Street MELBOURNE 3000
Robot Cafe,-37.81720101,144.963906499,Melbourne (CBD),302-308 Flinders Lane MELBOURNE 3000
Issus Cafe Bar,-37.81660463,144.965606003,Melbourne (CBD),252-254 Flinders Lane MELBOURNE 3000
Talking Heads Cafe,-37.81662915,144.96494251,Melbourne (CBD),271-285 Collins Street MELBOURNE 3000
Momo Cafe,-37.81473641,144.970016705,Melbourne (CBD),115-119 Collins Street MELBOURNE 3000
Maio Cafe,-37.81430748,144.972637449,Melbourne (CBD),45 Collins Street MELBOURNE 3000
Maio Cafe,-37.81430748,144.972637449,Melbourne (CBD),45 Collins Street MELBOURNE 3000
Minx Cafe,-37.81867684,144.954359995,Melbourne (CBD),612-624 Collins Street MELBOURNE 3000
Sparkling Cafe,-37.81850564,144.954953485,Melbourne (CBD),582-606 Collins Street MELBOURNE 3000
Yoku Cafe,-37.81861305,144.95457828,Melbourne (CBD),608-610 Collins Street MELBOURNE 3000
Cafe Intimo,-37.81638953,144.96009875,Melbourne (CBD),443 Little Collins Street MELBOURNE 3000
Cafe Aurora 369,-37.81601899,144.962698454,Melbourne (CBD),344-350 Collins Street MELBOURNE 3000
Rfour Cafe,-37.81592313,144.963507065,Melbourne (CBD),97-103 Elizabeth Street MELBOURNE 3000
Cafe Doppio,-37.8153724,144.964924097,Melbourne (CBD),258-274 Collins Street MELBOURNE 3000
Cafe Segovia,-37.81529082,144.964234875,Melbourne (CBD),317-321 Little Collins Street MELBOURNE 3000
Cafe Meditteranean,-37.81528608,144.966135192,Melbourne (CBD),220-226 Collins Street MELBOURNE 3000
Cafe Cento Venti,-37.8139859,144.969389109,Melbourne (CBD),106-120 Collins Street MELBOURNE 3000
Garden Plaza Cafe,-37.8139859,144.969389109,Melbourne (CBD),106-120 Collins Street MELBOURNE 3000
Paris End Cafe,-37.81330668,144.972901314,Melbourne (CBD),18-22 Collins Street MELBOURNE 3000
Paris End Cafe,-37.81330668,144.972901314,Melbourne (CBD),18-22 Collins Street MELBOURNE 3000
Egon's Conditorei Cafe and Bakery,-37.81314364,144.973266912,Melbourne (CBD),8 Collins Street MELBOURNE 3000
Nook Cafe,-37.81280835,144.973033132,Melbourne (CBD),85 Spring Street MELBOURNE 3000
Spring Cafe & Larder,-37.81260172,144.973193019,Melbourne (CBD),93-101 Spring Street MELBOURNE 3000
The Bourke Armoury Cafe,-37.81732257,144.95450209,Melbourne (CBD),655-667 Bourke Street MELBOURNE 3000
Chafs Cafe,-37.8172192,144.954109934,Melbourne (CBD),669-675 Bourke Street MELBOURNE 3000
Cafe Diy,-37.81636671,144.957822709,Melbourne (CBD),121 William Street MELBOURNE 3000
Cafe Pazzo,-37.81636671,144.957822709,Melbourne (CBD),121 William Street MELBOURNE 3000
Tengu Sushi Cafe,-37.81636671,144.957822709,Melbourne (CBD),121 William Street MELBOURNE 3000
Nex Cafe,-37.8167379,144.956286507,Melbourne (CBD),140-146 King Street MELBOURNE 3000
Cafe Q,-37.8169608,144.956783481,Melbourne (CBD),538-542 Little Collins Street MELBOURNE 3000
Cafe Q,-37.8169608,144.956783481,Melbourne (CBD),538-542 Little Collins Street MELBOURNE 3000
Trios Cafe,-37.81630784,144.958931831,Melbourne (CBD),114-128 William Street MELBOURNE 3000
J & Ty Cafe,-37.81538952,144.961186457,Melbourne (CBD),128-146 Queen Street MELBOURNE 3000
Riva Bar Cafe,-37.8144554,144.964541708,Melbourne (CBD),309-325 Bourke Street MELBOURNE 3000
Star Walk Cafe,-37.8144554,144.964541708,Melbourne (CBD),309-325 Bourke Street MELBOURNE 3000
Alpha Cafe & Deli,-37.8144554,144.964541708,Melbourne (CBD),309-325 Bourke Street MELBOURNE 3000
Alpha Cafe & Deli,-37.8144554,144.964541708,Melbourne (CBD),309-325 Bourke Street MELBOURNE 3000
Gordons Cafe-Bar,-37.81473427,144.964358022,Melbourne (CBD),304-306 Little Collins Street MELBOURNE 3000
Gordons Cafe & Bar,-37.81473427,144.964358022,Melbourne (CBD),304-306 Little Collins Street MELBOURNE 3000
Gordons Cafe & Bar,-37.81473427,144.964358022,Melbourne (CBD),304-306 Little Collins Street MELBOURNE 3000
Swanston Walk Cafe Bar,-37.81407876,144.96559218,Melbourne (CBD),157-159 Swanston Street MELBOURNE 3000
Cafe Tono,-37.81311056,144.96797783,Melbourne (CBD),143-153 Russell Street MELBOURNE 3000
Cafe Tono,-37.81311056,144.96797783,Melbourne (CBD),143-153 Russell Street MELBOURNE 3000
Sweet Mama's Cafe,-37.81346889,144.967108192,Melbourne (CBD),219-225 Bourke Street MELBOURNE 3000
Sweet Mama's Cafe,-37.81346889,144.967108192,Melbourne (CBD),219-225 Bourke Street MELBOURNE 3000
Bluestones 520 Cafe,-37.81527486,144.958395986,Melbourne (CBD),516-526 Bourke Street MELBOURNE 3000
Cafe Kokko,-37.8149502,144.95877017,Melbourne (CBD),494-512 Bourke Street MELBOURNE 3000
Cafe Euro Food & Wine Bar,-37.81499898,144.959206395,Melbourne (CBD),486-492 Bourke Street MELBOURNE 3000
IF Cafe,-37.81428721,144.959978141,Melbourne (CBD),185-199 Queen Street MELBOURNE 3000
Rush Cafe,-37.81443746,144.961501471,Melbourne (CBD),408-412 Bourke Street MELBOURNE 3000
McDonald's / Mc Cafe,-37.81416491,144.961765686,Melbourne (CBD),392-406 Bourke Street MELBOURNE 3000
Edelweiss Cafe & Wine Bar,-37.81366479,144.962614332,Melbourne (CBD),201-207 Elizabeth Street MELBOURNE 3000
Jeremy's Hardware Lane Cafe & Bar,-37.81429206,144.961414717,Melbourne (CBD),13-15 Hardware Lane MELBOURNE 3000
Fresh Express - The Healthy People's Cafe,-37.81385265,144.961213744,Melbourne (CBD),393-397 Little Bourke Street MELBOURNE 3000
Fresh Express - The Healthy People's Cafe,-37.81385265,144.961213744,Melbourne (CBD),393-397 Little Bourke Street MELBOURNE 3000
Kenny's Bakery Cafe,-37.8140298,144.960689858,Melbourne (CBD),184-192 Queen Street MELBOURNE 3000
Yoyogi Japanese Cafe,-37.81284781,144.965025183,Melbourne (CBD),211-213 Swanston Street MELBOURNE 3000
Yoyogi Japanese Cafe,-37.81284781,144.965025183,Melbourne (CBD),211-213 Swanston Street MELBOURNE 3000
A1 Cafe,-37.81207205,144.967448834,Melbourne (CBD),191-193 Russell Street MELBOURNE 3000
E-Taste Cafe,-37.8117044,144.969787188,Melbourne (CBD),100-116 Bourke Street MELBOURNE 3000
Chilli Cafe,-37.81227474,144.968197265,Melbourne (CBD),168 Russell Street MELBOURNE 3000
Cafe On Bourke,-37.81137862,144.971698403,Melbourne (CBD),40-50 Bourke Street MELBOURNE 3000
Don.Na.Mon.Ya Japanese Donburi Cafe & Bar,-37.81129034,144.972372089,Melbourne (CBD),18 Bourke Street MELBOURNE 3000
Teayara Cafe & Gallery,-37.81478779,144.955316545,Melbourne (CBD),228-230 King Street MELBOURNE 3000
Cafe Dominoes,-37.81428332,144.956659756,Melbourne (CBD),525-539 Lonsdale Street MELBOURNE 3000
Cafe Dominoes,-37.81428332,144.956659756,Melbourne (CBD),525-539 Lonsdale Street MELBOURNE 3000
Speck Cafe,-37.81355497,144.959763729,Melbourne (CBD),221-231 Queen Street MELBOURNE 3000
Epresso Cafe,-37.81355497,144.959763729,Melbourne (CBD),221-231 Queen Street MELBOURNE 3000
Cafe Max,-37.81339624,144.961271745,Melbourne (CBD),54-58 Hardware Lane MELBOURNE 3000
Cafe Max,-37.81339624,144.961271745,Melbourne (CBD),54-58 Hardware Lane MELBOURNE 3000
Basekamp Cafe,-37.81359935,144.961082978,Melbourne (CBD),386-392 Little Bourke Street MELBOURNE 3000
Pacific BBQ Cafe,-37.8114438,144.966152161,Melbourne (CBD),213-215 Lonsdale Street MELBOURNE 3000
Post Deng Cafe,-37.81204552,144.966227591,Melbourne (CBD),214-216 Little Bourke Street MELBOURNE 3000
Kun Ming Cafe,-37.81203618,144.966288572,Melbourne (CBD),212 Little Bourke Street MELBOURNE 3000
Hawker's Cafe,-37.81156301,144.967245886,Melbourne (CBD),213-217 Russell Street MELBOURNE 3000
Cafe 201,-37.81012834,144.972068819,Melbourne (CBD),199-207 Spring Street MELBOURNE 3000
